,BNBUCT02,BNEMTE02,BNODTE02,BNRMTE02,BSCICP02,BSCURT02,BSEMFT02,BSOBLV02,BSOITE02,BSPRTE02,BSXRLV02,CCRETT01,CPALTT01,CPGREN01,CPGRGO01,CPGRHO01,CPGRLE01,CPGRSE01,CSCICP02,CSESFT02,CSINFT02,HOHWMN02,IR3TCD01,IR3TED01,IR3TIB01,IRLTLT01,IRSTFR01,LCEAMN01,LCEAPR01,LFACTTTT,LFEMTTTT,LFHUTTTT,LFINTTTT,LFUNTTTT,LMJVTTUV,LOLITOAA,LOLITONO,LOLITOTR,LORSGPNO,LORSGPRT,LORSGPTD,LREMTTTT,LRHU24TT,LRUNTTTT,MABMM301,MANMM101,ODMNTO02,PIEAEN01,PIEAMP01,PRCNTO01,PRINTO01,PRMNTO01,SLMNTO02,SLRTTO02,SLWHTO02,STMNIS01,WSCNDW01,XTEXVA01,XTIMVA01,3MTBILL,10YT,103SPREAD,BBBYIELD,BBBOASPREAD,SP500,WTI,W875RX1,VIXCLS,RECPROUSM156N,DXY,y_nber,y_oecd,y_agg
1940-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60987385142501,,,8.39535996593998,8.15335315989952,,,,,,,,0.06,,,,,9.27,,,,,,0,,
1940-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60987385142501,,,8.66191237225942,8.51004178245536,,,,,,,,0.1,,,,,9.98,,,,,,0,,
1940-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54757825883819,,,8.76847385860877,8.61191005759648,,,,,,,,0.05,,,,,10.29,,,,,,0,,
1940-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54757825883819,,,8.82180416526546,8.73932023130384,,,,,,,,0.04,,,,,10.5,,,,,,0,,
1940-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54757825883819,,,9.00836111159986,8.9177144291024,,,,,,,,0.05,,,,,10.66,,,,,,0,,
1940-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60987385142501,,,9.14158775127756,9.04512460280976,,,,,,,,0.02,,,,,11.08,,,,,,0,,
1940-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60987385142501,,,9.35480985094031,9.19797690204208,,,,,,,,0.02,,,,,10.57,,,,,,0,,
1940-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60987385142501,,,9.67469256391645,9.52922339907296,,,,,,,,0.02,,,,,10.58,,,,,,0,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60987385142501,,,9.91457981690754,9.70751782383024,,,,,,,,0.02,,,,,10.07,,,,,,0,,
1941-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60987385142501,,,10.2076982495913,10.0642064463861,,,,,,,,0.04,,,,,9.92,,,,,,0,,
1941-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60987385142501,,,10.5275809625674,10.3190267938008,,,,,,,,0.11,,,,,9.96,,,,,,0,,
1941-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,10.5541469889317,10.5992892667405,,,,,,,,0.1,,,,,9.31,,,,,,0,,
1941-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85905622177231,,,11.0339214949139,10.9559778892963,,,,,,,,0.11,,,,,9.38,,,,,,0,,
1941-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98364740694596,,,11.113916954899,11.0833880630037,,,,,,,,0.12,,,,,9.85,,,,,,0,,
1941-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,11.2471435945767,11.210798236711,,,,,,,,0.12,,,,,10.39,,,,,,0,,
1941-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10823859211961,,,11.3803702342544,11.2872243863272,,,,,,,,0.13,,,,,10.28,,,,,,0,,
1941-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10823859211961,,,11.3803702342544,11.2617822608022,,,,,,,,0.1,,,,,10.2,,,,,,0,,
1941-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10823859211961,,,11.4870308475678,11.3636505359434,,,,,,,,0.09,,,,,9.5,,,,,,0,,
1941-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,11.5403611542245,11.3891924345096,,,,,,,,0.28,,,,,9.12,,,,,,0,,
1941-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,11.7269181005589,11.5420447337419,,,,,,,,0.33,,,,,8.69,,,,,,0,,
1942-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,11.9667062265859,11.7968650811566,,,,,,,,0.27,,,,,8.85,,,,,,0,,
1942-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98364740694596,,,12.1799283262486,12.0771275540963,,,,,,,,0.25,,,,,8.59,,,,,,0,,
1942-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98364740694596,,,12.3132540928904,12.2554219788536,,,,,,,,0.25,,,,,8.01,,,,,,0,,
1942-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98364740694596,,,11.9667062265859,11.8987333562978,,,,,,,,0.32,,,,,7.66,,,,,,0,,
1942-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98364740694596,,,11.9933713799142,11.949717380389,,,,,,,,0.37,,,,,8.15,,,,,,0,,
1942-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,12.0200365332426,12.0261435300051,,,,,,,,0.37,,,,,8.3,,,,,,0,,
1942-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10823859211961,,,12.3132540928904,12.4083740511272,,,,,,,,0.38,,,,,8.56,,,,,,0,,
1942-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10823859211961,,,12.6863679855592,12.815946924733,,,,,,,,0.38,,,,,8.62,,,,,,0,,
